お住まいの地域を教えてください。,あなたの年代を教えてください。,セミナーを知ったきっかけを教えてください。,有料のセミナーを受講いただいたことはございますでしょうか。,自己学習について、1日で平均どのくらいの時間学習されていますでしょうか。,コロナウイルス禍により、皆様のライフスタイルも大きく変わったこととと存じます。平日のオンラインセミナーの開始時間につきまして、もっともご参加いただきやすいものをお選びください。,オンラインセミナーの所要時間について、皆様が参加しやすいと感じられるものをお選びください。（複数選択可）,セミナーに参加する頻度は、どのくらいが望ましいでしょうか。,その他ご意見・今後あれば受講したいセミナー等ございましたらご記入ください。いただいた内容は、今後の参考にさせていただきます。
関東,40代,SNS,2度以上参加したことがある,30分～1時間,18時半～,60分,月2回,いつも面白いコンテンツを有難うございます
関東,40代,セミナー募集サイト,2度以上参加したことがある,15分以下,19時,2時間,毎週（月4回）,Processing やp5.jsを教えていただきたいです。5000名突破おめでとうございます。特別価格の3つのコースは学んだことがあるため、別コースで割引があると嬉しいです。
中国・四国,40代,SNS,2度以上参加したことがある,1時間～2時間,19時,90分,月2回,ベイズ統計
中国・四国,50代,SNS,2度以上参加したことがある,15分以下,日中（12時～17時ごろ）,90分,月1回,ニューラルネットワーク、サンプルサイズ計算、やや複雑な統計解析手法
関東,40代,SNS,1度参加したことがある,1時間～2時間,日中（12時～17時ごろ）,2時間,月1回,時系列データの分析（状態空間モデルなど）のセミナー
関西,50代,セミナー募集サイト,一度もない,15分～30分,19時半,90分,月1回,オンラインセミナーに、Teamsで参加できるようにして欲しい。
関東,50代,セミナー募集サイト,一度もない,30分～1時間,20時,60分;90分,毎週（月4回）,機械学習を使えるようになりたい
関東,50代,SNS,2度以上参加したことがある,15分～30分,19時半,90分,月2回,音声認識について学びたい。
関東,40代,セミナー募集サイト,2度以上参加したことがある,30分～1時間,20時,90分,月2回,平日は遅めに始めていただいた方が参加しやすいです。
関西,40代,セミナー募集サイト,一度もない,15分～30分,20時以降,90分,毎週（月4回）,GANの実装のセミナーがあると参加したいです。
関東,30代,SNS,1度参加したことがある,30分～1時間,20時,90分,月3回;月2回;月1回,リアルでのセミナーも今後可能になれば復活してほしい。
関西,40代,SNS,2度以上参加したことがある,30分～1時間,19時半,90分,毎週（月4回）,今回のキャンペーンにはスケジュールが合わないので参加できませんがまたこのような機会があればお願いします。
関東,50代,SNS,2度以上参加したことがある,30分～1時間,19時半,90分,月2回,統計検定1級を目指していますので、1級の内容の講座を希望します。
北海道,30代,セミナー募集サイト,1度参加したことがある,それ以上,20時,90分,月2回;月1回,アンケートの分析について、必要なデータ数や項目について学びたい。
北海道,30代,SNS,2度以上参加したことがある,15分以下,18時半～,60分,月2回,Pythonを使った効率改善やレポーティング方法について知りたい。
